iter	Passed	Remaining
0	0	92
1	1	85
2	2	81
3	3	73
4	3	73
5	4	70
6	5	67
7	5	68
8	6	66
9	7	64
10	7	64
11	8	62
12	9	61
13	9	59
14	10	58
15	10	56
16	11	55
17	11	54
18	12	52
19	12	51
20	13	51
21	14	50
22	14	49
23	15	48
24	16	48
25	16	47
26	17	47
27	17	46
28	18	45
29	19	44
30	19	43
31	20	44
32	21	43
33	22	42
34	22	42
35	23	41
36	23	40
37	24	39
38	25	39
39	25	38
40	26	37
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	28	32
47	29	31
48	29	31
49	30	30
50	31	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	43	14
75	44	14
76	45	13
77	45	12
78	46	12
79	47	11
80	47	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
